DATE,거래단위,평균가격,총거래물량,총거래금액,도매시장,도매법인,품목,품종,산지-광역시도,산지-시군구,등급,weighted_price
2024-11,10kg그물망,7894.960698268795,207370.0,163717800,구리도매시장,농협구리(공),양배추,양배추(일반),충청남도,충청남도,특,1637178000.0
2024-11,10kg그물망,6741.940184581223,144110.0,97158100,구리도매시장,인터넷청과,양배추,양배추(일반),충청남도,서산시,특,971581000.0
2024-11,10kg그물망,8766.491228070176,57000.0,49969000,인천구월도매,대인농산,양배추,양배추(일반),제주도,제주시,특,499690000.0
2024-11,10kg그물망,7109.832635983264,47800.0,33985000,구리도매시장,인터넷청과,양배추,양배추(일반),강원도,삼척시,특,339850000.0
2024-11,10kg그물망,9329.643568740314,45170.0,42142000,인천구월도매,덕풍청과,양배추,양배추(일반),전라남도,무안군,특,421419999.99999994
2024-11,10kg그물망,10193.09921414538,40720.0,41506300,순천도매시장,남도청과,양배추,양배추(일반),전라남도,무안군,특,415062999.9999999
2024-11,10kg그물망,9054.123414071511,34680.0,31399700,수원도매시장,수원원협(공),양배추,양배추(일반),전라남도,전라남도,특,313997000.0
2024-11,10kg그물망,9076.746295736317,33070.0,30016800,안양도매시장,안양농산물(주),양배추,양배추(일반),충청남도,서산시,특,300168000.0
2024-11,10kg그물망,7981.022797288971,32460.0,25906400,구리도매시장,인터넷청과,양배추,양배추(일반),전라남도,무안군,특,259064000.0
2024-11,10kg그물망,10458.65057257815,32310.0,33791900,서울강서도매,농협강서(공),양배추,양배추(일반),충청남도,서산시,특,337919000.0
2024-11,10kg그물망,9692.60808926081,28680.0,27798400,수원도매시장,경기청과,양배추,양배추(일반),전라남도,해남군,특,277984000.0
2024-11,10kg그물망,6885.737976782753,24120.0,16608400,광주각화도매,광주원협(공),양배추,양배추(일반),전라남도,무안군,특,166084000.0
2024-11,10kg그물망,8124.111056989772,20530.0,16678800,창원내서도매시장,마산청과,양배추,양배추(일반),경상북도,김천시,특,166788000.00000003
2024-11,10kg그물망,7006.858407079645,18080.0,12668400,창원내서도매시장,마산청과,양배추,양배추(일반),경상남도,진해시,특,126683999.99999999
2024-11,10kg그물망,6952.184179456906,16940.0,11777000,구리도매시장,농협구리(공),양배추,양배추(일반),강원도,춘천시,특,117770000.0
2024-11,10kg그물망,9040.131147540984,15250.0,13786200,구리도매시장,농협구리(공),양배추,양배추(일반),전라북도,전라북도,특,137862000.0
2024-11,10kg그물망,4058.39590443686,14650.0,5945550,원주도매시장,원주원협(공),양배추,양배추(일반),충청북도,단양군,특,59455500.0
2024-11,10kg그물망,7099.065420560748,13910.0,9874800,부산반여도매,부산중앙청과,양배추,양배추(일반),부산광역시,중구,특,98748000.0
2024-11,10kg그물망,7960.221402214022,13550.0,10786100,수원도매시장,경기청과,양배추,양배추(일반),전라남도,무안군,특,107861000.0
2024-11,10kg그물망,6166.666666666668,10800.0,6660000,구리도매시장,인터넷청과,양배추,양배추(일반),강원도,정선군,특,66600000.000000015
2024-11,10kg그물망,8515.219512195123,10250.0,8728100,전주도매시장,전주원협(공),양배추,양배추(일반),전라북도,고창군,특,87281000.0
2024-11,10kg그물망,5186.594911937378,10220.0,5300700,광주각화도매,광주원협(공),양배추,양배추(일반),전라남도,무안군,특,53007000.00000001
2024-11,10kg그물망,6509.494949494949,9900.0,6444400,천안도매시장,천안농협(공),양배추,양배추(일반),서울특별시,서울특별시,특,64443999.99999999
2024-11,10kg그물망,7507.541322314049,9680.0,7267300,구리도매시장,농협구리(공),양배추,양배추(일반),전라남도,전라남도,특,72672999.99999999
2024-11,10kg그물망,6905.681818181818,9680.0,6684700,구리도매시장,농협구리(공),양배추,양배추(일반),전라남도,무안군,특,66847000.0
2024-11,10kg그물망,9207.805907172995,9480.0,8729000,전주도매시장,전주원협(공),양배추,양배추(일반),-,-,특,87289999.99999999
