,DATE,거래단위,평균가격,총거래물량,총거래금액,도매시장,도매법인,품목,품종,산지-광역시도,산지-시군구,등급,1kg_평균가격,1kg_총거래물량
0,2024-11-01,8kg그물망,7570.347367788504,2263192.0,2141643700,서울가락도매,대아청과,양배추,양배추(일반),충청남도,서산시,특,946.293420973563,18105536
1,2024-11-01,8kg그물망,8394.011827284383,1803288.0,1892102600,서울가락도매,대아청과,양배추,양배추(일반),전라남도,무안군,특,1049.251478410548,14426304
2,2024-11-01,8kg그물망,9639.916816449157,921336.0,1110200300,서울가락도매,대아청과,양배추,양배추(일반),강원도,정선군,특,1204.989602056145,7370688
3,2024-11-01,8kg그물망,7854.459906467434,420816.0,413160300,서울가락도매,대아청과,양배추,양배추(일반),충청남도,태안군,특,981.8074883084292,3366528
4,2024-11-01,8kg그물망,6939.58536725435,417912.0,362517000,서울가락도매,대아청과,양배추,양배추(일반),충청남도,당진시,특,867.4481709067937,3343296
5,2024-11-01,8kg그물망,11166.62171274444,225416.0,314641900,서울가락도매,대아청과,양배추,양배추(일반),강원도,삼척시,특,1395.827714093055,1803328
6,2024-11-01,8kg그물망,5391.618734593262,97360.0,65616000,서울가락도매,대아청과,양배추,양배추(일반),경상북도,문경시,특,673.9523418241578,778880
7,2024-11-01,8kg그물망,7596.130536130536,85800.0,81468500,인천삼산도매,부평농산,양배추,양배추(일반),충청남도,서산시,특,949.516317016317,686400
8,2024-11-01,8kg그물망,6811.233188103807,84464.0,71913000,안산도매시장,안산농산물,양배추,양배추(일반),전라남도,무안군,특,851.4041485129759,675712
9,2024-11-01,8kg그물망,6982.498153813694,75832.0,66187100,서울가락도매,한국청과,양배추,양배추(일반),전라남도,무안군,특,872.8122692267118,606656
10,2024-11-01,8kg그물망,7648.684528119719,66288.0,63377000,인천삼산도매,경인농산,양배추,양배추(일반),충청남도,서산시,특,956.0855660149649,530304
11,2024-11-01,8kg그물망,5016.203313675934,56976.0,35725400,서울가락도매,대아청과,양배추,양배추(일반),강원도,강릉시,특,627.0254142094917,455808
12,2024-11-01,8kg그물망,6941.455927495981,54728.0,47486500,인천삼산도매,삼산원협(공),양배추,양배추(일반),충청남도,서산시,특,867.6819909369976,437824
13,2024-11-01,8kg그물망,7985.271672771672,52416.0,52319500,서울가락도매,대아청과,양배추,양배추(일반),강원도,횡성군,특,998.158959096459,419328
14,2024-11-01,8kg그물망,6488.145315487571,41840.0,33933000,서울가락도매,대아청과,양배추,양배추(일반),강원도,태백시,특,811.0181644359463,334720
15,2024-11-01,8kg그물망,7866.688311688313,36960.0,36344100,서울가락도매,대아청과,양배추,양배추(일반),전라남도,신안군,특,983.3360389610391,295680
16,2024-11-01,8kg그물망,4815.512015587789,36952.0,22242850,춘천도매시장,춘천원협(공),양배추,양배추(일반),서울특별시,송파구,특,601.9390019484737,295616
17,2024-11-01,8kg그물망,3407.505518763796,36240.0,15436000,서울가락도매,대아청과,양배추,양배추(일반),강원도,춘천시,특,425.9381898454745,289920
18,2024-11-01,8kg그물망,5285.357862903225,31744.0,20972300,서울가락도매,대아청과,양배추,양배추(일반),강원도,평창군,특,660.6697328629032,253952
19,2024-11-01,8kg그물망,6614.97461928934,31520.0,26063000,서울가락도매,대아청과,양배추,양배추(일반),전라북도,고창군,특,826.8718274111675,252160
20,2024-11-01,8kg그물망,9242.877906976744,27520.0,31795500,인천삼산도매,부평농산,양배추,양배추(일반),전라남도,해남군,특,1155.359738372093,220160
21,2024-11-01,8kg그물망,10028.90034364261,23280.0,29184100,대구북부도매,효성청과,양배추,양배추(일반),전라남도,무안군,특,1253.612542955326,186240
23,2024-11-01,8kg그물망,10632.648694908,18696.0,24848500,인천삼산도매,경인농산,양배추,양배추(일반),경기도,경기도,특,1329.0810868635,149568
24,2024-11-01,8kg그물망,8468.454545454546,17600.0,18630600,대구북부도매,효성청과,양배추,양배추(일반),전라남도,장흥군,특,1058.556818181818,140800
25,2024-11-01,8kg그물망,9032.766761095372,16944.0,19131400,대구북부도매,효성청과,양배추,양배추(일반),경상북도,구미시,특,1129.095845136922,135552
26,2024-11-01,8kg그물망,10381.05387803434,13512.0,17533600,대구북부도매,효성청과,양배추,양배추(일반),대구광역시,달성군,특,1297.631734754292,108096
27,2024-11-01,8kg그물망,4993.203272498426,12712.0,7934200,서울가락도매,대아청과,양배추,양배추(일반),경상북도,상주시,특,624.1504090623032,101696
28,2024-11-01,8kg그물망,3828.260869565217,11040.0,5283000,서울가락도매,대아청과,양배추,양배추(일반),제주도,제주시,특,478.5326086956521,88320
29,2024-11-01,8kg그물망,11323.00542215337,10328.0,14618000,인천삼산도매,경인농산,양배추,양배추(일반),전라남도,무안군,특,1415.375677769171,82624
30,2024-11-01,8kg그물망,12769.81132075472,8480.0,13536000,대구북부도매,효성청과,양배추,양배추(일반),강원도,정선군,특,1596.22641509434,67840
31,2024-11-01,8kg그물망,6291.008991008991,8008.0,6297300,부산반여도매,부산중앙청과,양배추,양배추(일반),부산광역시,중구,특,786.3761238761239,64064
32,2024-11-01,8kg그물망,8106.666666666668,6000.0,6080000,서울가락도매,한국청과,양배추,양배추(일반),충청남도,서산시,특,1013.333333333333,48000
33,2024-11-01,8kg그물망,7791.304347826086,5520.0,5376000,인천삼산도매,경인농산,양배추,양배추(일반),충청남도,당진시,특,973.9130434782608,44160
34,2024-11-01,8kg그물망,14850.08818342152,4536.0,8420000,강릉도매시장,강릉농산물,양배추,양배추(일반),전라남도,무안군,특,1856.26102292769,36288
35,2024-11-01,8kg그물망,8169.811320754716,4240.0,4330000,대구북부도매,대구원협(공),양배추,양배추(일반),전라남도,무안군,특,1021.226415094339,33920
