DATE,거래단위,도매시장,산지-광역시도,등급,단위_무게(kg),1kg_물량,1kg_평균가격,weighted_price,광역시도,평균기온,평균풍속,평균강수량,Month,z_score
2021-01-01,10kg상자,강릉도매시장,강원도,특,10,1800,677.7777777777778,1220000.0,강원도,-5.16,2.29,7.75,1,0.012227882671789203
2020-01-01,15kg상자,강릉도매시장,강원도,특,15,12150,325.3086419753087,3952500.000000001,강원도,-0.79,1.84,89.76,1,-0.9647952455718675
2024-01-01,8kg그물망,강릉도매시장,경상남도,특,8,320,912.5,292000.0,경상남도,2.38,2.04,32.67,1,0.662863687425993
2024-01-01,8kg그물망,강릉도매시장,부산광역시,특,8,10880,804.4117647058822,8751999.999999998,부산광역시,3.96,2.38,39.38,1,0.3632496360198625
2021-01-01,8kg그물망,강릉도매시장,부산광역시,특,8,26240,689.2073170731708,18084800.0,부산광역시,2.51,2.61,22.83,1,0.04390987437680698
2021-01-01,10kg그물망,강릉도매시장,부산광역시,특,10,268000,1057.347014925373,283369000.0,부산광역시,2.51,2.61,22.83,1,1.0643708529170834
2021-01-01,8kg그물망,강릉도매시장,서울특별시,특,8,54336,813.0889281507656,44180000.0,서울특별시,-2.3,1.62,16.4,1,0.3873022083221153
2021-01-01,8kg그물망,강릉도매시장,서울특별시,특,8,21824,1063.049853372434,23200000.0,서울특별시,-2.3,1.62,16.4,1,1.0801787762029913
2021-01-01,10kg그물망,강릉도매시장,서울특별시,특,10,10000,600.0,6000000.0,서울특별시,-2.3,1.62,16.4,1,-0.20336741357812468
2020-01-01,10kg그물망,강릉도매시장,서울특별시,특,10,6000,950.0,5700000.0,서울특별시,1.85,1.35,55.52,1,0.7668114195464871
2024-01-01,8kg그물망,강릉도매시장,전라남도,특,8,66304,875.965250965251,58080000.0,전라남도,3.31,2.88,42.0,1,0.5615915726058979
2024-01-01,8kg그물망,강릉도매시장,전라남도,특,8,192,1000.0,192000.0,전라남도,3.31,2.88,42.0,1,0.905408395707146
2023-01-01,8kg그물망,강릉도매시장,전라남도,특,8,30720,884.7135416666665,27178400.0,전라남도,2.02,2.91,49.16,1,0.5858413053617099
2022-01-01,8kg그물망,강릉도매시장,전라남도,특,8,82624,725.358249419055,59932000.0,전라남도,1.73,2.8,3.06,1,0.1441180725473692
2024-01-01,10kg그물망,강릉도매시장,전라남도,특,10,14100,548.936170212766,7740000.000000001,전라남도,3.31,2.88,42.0,1,-0.3449132615719889
2024-01-01,8kg그물망,강릉도매시장,제주도,특,8,166912,686.1771472392638,114531200.0,제주도,5.06,4.04,98.48,1,0.035510426852152034
2024-01-01,8kg그물망,강릉도매시장,제주도,특,8,3904,912.5,3562400.0,제주도,5.06,4.04,98.48,1,0.662863687425993
