DATE,거래단위,도매시장,산지-광역시도,등급,단위_무게(kg),1kg_물량,1kg_평균가격,weighted_price,광역시도,평균기온,평균풍속,평균강수량
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,22824192,1132.094998149332,25839153600.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,충청남도,특,8,10377536,743.5051249159724,7715751200.0,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,10340416,1248.23094157914,12907227200.000006,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,6676480,828.4316286426381,5531007200.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,6619776,990.4551453100528,6556591200.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,5156480,984.7682139754252,5077937600.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,3119040,1037.180927464861,3235008800.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,1226112,953.0431151477188,1168537599.9999998,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,전라남도,특,8,1049152,702.4400658817788,736966400.0,전라남도,17.71,2.19,126.95
2024-10-01,8kg그물망,서울가락도매,경상북도,특,8,556096,863.4796869605248,480177600.0,경상북도,15.24,1.35,96.98
2024-10-01,8kg그물망,안산도매시장,전라남도,특,8,548416,1160.783055198973,636592000.0,전라남도,17.71,2.19,126.95
2024-10-01,8kg그물망,서울가락도매,충청남도,특,8,522880,1103.182374541004,576832000.0000002,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,인천삼산도매,충청남도,특,8,506752,927.1375347309926,469828799.99999994,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,462528,791.9762695447628,366311200.00000006,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,416640,818.2411674347159,340912000.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,인천삼산도매,경기도,특,8,413632,1424.986461395636,589419999.9999998,경기도,14.59,1.06,76.26
2024-10-01,8kg그물망,인천삼산도매,강원도,특,8,323328,1056.747327790974,341676000.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,인천삼산도매,충청남도,특,8,315840,809.7137791286729,255740000.00000003,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,춘천도매시장,서울특별시,특,8,292352,727.427758318739,212664960.0,서울특별시,16.37,1.28,64.31
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,290560,569.0528634361234,165344000.00000003,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,안산도매시장,강원도,특,8,194560,887.6439144736842,172700000.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,대구북부도매,강원도,특,8,183936,1139.326722338204,209563199.9999999,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,대구북부도매,충청남도,특,8,176000,1009.227272727273,177624000.00000003,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,서울가락도매,충청남도,특,8,166400,693.3173076923077,115368000.0,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,대구북부도매,강원도,특,8,166016,807.9944101773323,134140000.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,강릉도매시장,강원도,특,8,163008,789.9234393404005,128763840.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,대구북부도매,강원도,특,8,153088,972.8783444816055,148936000.00000003,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,충청남도,특,8,141568,514.7321428571429,72869600.0,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,120320,840.6914893617021,101152000.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,인천삼산도매,전라남도,특,8,119680,1481.717914438502,177331999.9999999,전라남도,17.71,2.19,126.95
2024-10-01,8kg그물망,서울가락도매,경상북도,특,8,109056,312.5,34080000.0,경상북도,15.24,1.35,96.98
2024-10-01,8kg그물망,강릉도매시장,강원도,특,8,99264,665.2240490006448,66032800.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,강릉도매시장,강원도,특,8,98432,510.5331599479844,50252800.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,강원도,특,8,92800,1365.172413793104,126688000.00000004,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,인천삼산도매,충청남도,특,8,92800,951.9396551724137,88340000.0,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,인천삼산도매,충청남도,특,8,84736,1198.357250755287,101544000.0,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,서울가락도매,충청남도,특,8,72384,506.4765694076038,36660799.99999999,충청남도,16.32,2.29,92.38
2024-10-01,8kg그물망,대구북부도매,대구광역시,특,8,64896,1145.82100591716,74359200.00000001,대구광역시,16.0,1.12,78.55
2024-10-01,8kg그물망,안양도매시장,강원도,특,8,61440,1205.078125,74040000.0,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,경상북도,특,8,57600,496.25,28584000.0,경상북도,15.24,1.35,96.98
2024-10-01,8kg그물망,충주도매시장,충청북도,특,8,50432,1269.194162436549,64008000.000000045,충청북도,14.42,1.12,109.71
2024-10-01,8kg그물망,안양도매시장,강원도,특,8,49408,1069.170984455959,52825600.000000015,강원도,12.93,1.56,130.36
2024-10-01,8kg그물망,서울가락도매,전라남도,특,8,42880,1124.813432835821,48232000.00000001,전라남도,17.71,2.19,126.95
