광역시도,평균기온,평균풍속,평균강수량,DATE
강원도,-3.48,2.06,2.07,2019-01
강원도,-1.12,1.82,22.44,2019-02
강원도,4.3,2.18,41.57,2019-03
강원도,9.15,2.13,55.95,2019-04
강원도,16.84,2.24,18.88,2019-05
강원도,19.03,1.62,115.98,2019-06
강원도,22.68,1.74,243.34,2019-07
강원도,23.4,1.56,191.71,2019-08
강원도,18.73,1.45,206.64,2019-09
강원도,12.65,1.63,126.09,2019-10
강원도,5.08,1.7,78.0,2019-11
강원도,-0.6,2.0,9.25,2019-12
강원도,-0.79,1.84,89.76,2020-01
강원도,0.11,2.03,54.0,2020-02
강원도,5.07,2.19,28.03,2020-03
강원도,8.11,2.44,35.83,2020-04
강원도,15.46,2.02,141.14,2020-05
강원도,21.05,1.83,141.49,2020-06
강원도,20.7,1.62,322.91,2020-07
강원도,23.88,1.72,603.77,2020-08
강원도,17.31,1.88,353.99,2020-09
강원도,10.32,1.64,3.8,2020-10
강원도,5.42,2.08,44.6,2020-11
강원도,-3.29,2.25,2.64,2020-12
강원도,-5.16,2.29,7.75,2021-01
강원도,0.17,2.55,4.0,2021-02
강원도,5.8,2.01,96.1,2021-03
강원도,10.52,2.16,106.43,2021-04
강원도,14.22,2.06,174.71,2021-05
강원도,19.28,1.59,84.52,2021-06
강원도,24.02,1.34,150.4,2021-07
강원도,22.01,1.48,232.64,2021-08
강원도,18.43,1.59,152.15,2021-09
강원도,12.11,1.55,120.23,2021-10
강원도,5.29,2.21,43.01,2021-11
강원도,-1.59,2.37,10.79,2021-12
강원도,-4.72,1.91,2.67,2022-01
강원도,-3.74,2.52,8.63,2022-02
강원도,4.63,2.18,92.63,2022-03
강원도,11.62,2.35,39.11,2022-04
강원도,15.62,2.27,11.27,2022-05
강원도,19.82,2.02,308.38,2022-06
강원도,23.51,1.36,229.97,2022-07
강원도,22.64,1.6,424.96,2022-08
강원도,17.88,1.63,211.11,2022-09
강원도,10.76,1.61,176.04,2022-10
강원도,6.65,1.81,60.41,2022-11
강원도,-5.45,2.41,4.17,2022-12
강원도,-4.58,2.07,44.09,2023-01
강원도,-0.81,1.83,8.29,2023-02
강원도,6.55,2.09,12.9,2023-03
강원도,10.64,2.38,69.05,2023-04
강원도,15.82,1.92,117.01,2023-05
강원도,20.27,1.79,213.89,2023-06
강원도,23.96,1.67,287.15,2023-07
강원도,23.7,1.56,321.23,2023-08
강원도,19.69,1.38,173.62,2023-09
강원도,11.7,1.66,30.67,2023-10
강원도,4.61,2.49,71.63,2023-11
강원도,-1.59,2.21,114.47,2023-12
강원도,-2.87,2.02,14.74,2024-01
강원도,0.48,1.63,77.57,2024-02
강원도,3.76,2.1,52.33,2024-03
강원도,12.87,1.91,38.29,2024-04
강원도,15.58,2.1,105.21,2024-05
강원도,20.99,1.66,130.2,2024-06
강원도,24.3,2.03,375.36,2024-07
강원도,25.44,1.53,108.31,2024-08
강원도,20.84,1.55,275.24,2024-09
강원도,12.93,1.56,130.36,2024-10
경기도,-3.04,1.19,0.1,2019-01
경기도,-0.41,1.25,22.2,2019-02
경기도,5.47,1.65,31.67,2019-03
경기도,10.67,1.6,38.53,2019-04
경기도,17.74,1.69,27.14,2019-05
경기도,21.06,1.34,66.03,2019-06
경기도,24.76,1.47,234.28,2019-07
경기도,25.52,1.2,151.48,2019-08
경기도,20.78,1.17,201.17,2019-09
경기도,14.29,1.16,54.56,2019-10
경기도,5.8,1.15,75.77,2019-11
경기도,0.08,1.18,19.0,2019-12
경기도,0.17,1.17,60.03,2020-01
경기도,1.38,1.38,48.29,2020-02
경기도,6.4,1.79,15.88,2020-03
경기도,9.83,2.07,17.64,2020-04
경기도,17.03,1.51,110.78,2020-05
경기도,22.69,1.44,103.47,2020-06
경기도,23.01,1.41,267.51,2020-07
경기도,25.66,1.41,706.06,2020-08
경기도,19.68,1.5,156.94,2020-09
경기도,11.92,1.16,4.8,2020-10
경기도,6.21,1.35,67.71,2020-11
